company_name,industry,employee_count,annual_revenue_millions_usd,description,is_good_lead
"Lee, Hernandez and Hughes Solutions",Healthcare,8,1,A Healthcare company focused on incubate open-source architectures,0
Hernandez-Haynes Group,Construction,99,36,A Construction company focused on strategize synergistic users,1
"Peterson, Gallegos and Frost Solutions",Software,5,3,A Software company focused on exploit real-time vortals,0
Herrera-Bowman Solutions,Fintech,376,116,A Fintech company focused on aggregate transparent systems,1
Fischer-Barry Inc.,Cloud Computing,7,2,A Cloud Computing company focused on implement impactful e-commerce,0
Rich PLC Inc.,IoT,523,11,A IoT company focused on whiteboard clicks-and-mortar eyeballs,1
Torres PLC LLC,Staffing & Recruiting,618,20,A Staffing & Recruiting company focused on harness frictionless content,1
Nicholson-Hansen Inc.,Renewable Energy,6,1,A Renewable Energy company focused on exploit synergistic partnerships,0
Silva Inc Group,Insurance,969,35,A Insurance company focused on expedite wireless partnerships,1
"Hodge, Reed and Jones Solutions",SaaS,846,176,A SaaS company focused on streamline virtual networks,1
Cummings-Smith Inc.,IoT,59,139,A IoT company focused on expedite bricks-and-clicks vortals,1
Vazquez Inc Solutions,Publishing,905,39,A Publishing company focused on embrace turn-key e-markets,0
"Flores, Herrera and Sims Solutions",Logistics & Supply Chain,7,1,A Logistics & Supply Chain company focused on morph user-centric applications,0
Dunn-Hammond Group,Utilities,503,67,A Utilities company focused on cultivate plug-and-play functionalities,1
Gray-Lynch Group,HR Tech,439,160,A HR Tech company focused on deliver next-generation markets,1
Page-Lee Inc.,SaaS,786,7,A SaaS company focused on productize 24/7 initiatives,1
Sanchez-Cross Solutions,Public Relations,517,32,A Public Relations company focused on generate sticky eyeballs,1
"Bates, Diaz and Khan Solutions",Events Services,522,109,A Events Services company focused on integrate cross-media partnerships,0
"Tran, Barnett and Bell Inc.",Utilities,737,181,A Utilities company focused on syndicate next-generation partnerships,1
Vargas LLC LLC,Travel & Tourism,6,2,A Travel & Tourism company focused on extend robust e-business,0
Perkins Ltd Inc.,Cloud Computing,242,189,A Cloud Computing company focused on leverage dynamic bandwidth,1
Mccarthy PLC Inc.,Aerospace & Defense,186,68,A Aerospace & Defense company focused on orchestrate efficient applications,1
Vega PLC Inc.,Venture Capital,5,2,A Venture Capital company focused on strategize compelling markets,0
Miller and Sons Solutions,Gaming,985,162,A Gaming company focused on engage user-centric e-business,1
Wyatt-Barr LLC,Aerospace & Defense,7,2,A Aerospace & Defense company focused on synthesize clicks-and-mortar portals,0
Fields-Schneider Inc.,HR Tech,7,2,A HR Tech company focused on cultivate transparent e-business,0
Shepard-Parsons Inc.,Banking,130,31,A Banking company focused on e-enable 24/7 e-business,1
Jackson-Pena LLC,Software,446,93,A Software company focused on unleash 24/7 portals,1
"Thomas, Coleman and Parsons LLC",Telecommunications,528,147,A Telecommunications company focused on synthesize vertical architectures,0
"Lee, Rodriguez and Taylor Inc.",EdTech,243,35,A EdTech company focused on engage B2B supply-chains,1
"Ortiz, Newman and Rasmussen Solutions",Manufacturing,5,1,A Manufacturing company focused on embrace scalable methodologies,0
Walker-Young Solutions,Aerospace & Defense,359,5,A Aerospace & Defense company focused on empower B2B e-commerce,1
Cruz-Williams LLC,Mining,125,114,A Mining company focused on orchestrate turn-key systems,1
Thomas and Sons Inc.,Pharmaceuticals,7,1,A Pharmaceuticals company focused on morph visionary communities,0
"Sanchez, Martinez and Arias Solutions",Automotive,259,169,A Automotive company focused on incentivize compelling convergence,1
Rojas-Aguirre Group,Pharmaceuticals,150,188,A Pharmaceuticals company focused on benchmark innovative synergies,1
Miller-Wright Solutions,Oil & Gas,5,2,A Oil & Gas company focused on exploit sticky channels,0
Leach PLC Inc.,Consumer Electronics,5,2,A Consumer Electronics company focused on cultivate cross-platform bandwidth,0
"Farrell, Warren and Butler LLC",Mining,860,71,A Mining company focused on re-intermediate open-source synergies,1
Ward LLC LLC,SaaS,768,29,A SaaS company focused on engineer holistic mindshare,1
Ramsey-Johns Group,SaaS,133,73,A SaaS company focused on extend enterprise architectures,1
Hernandez and Sons Solutions,Retail,99,121,A Retail company focused on evolve granular markets,1
"Bryant, Ferguson and Burton Group",Mining,467,21,A Mining company focused on engage 24/365 solutions,1
Gilbert-Campbell Group,Fashion & Apparel,103,126,A Fashion & Apparel company focused on synthesize interactive infrastructures,0
Simpson-Thomas LLC,Hospitality,960,18,A Hospitality company focused on optimize seamless markets,0
Perez Ltd Solutions,HealthTech,6,1,A HealthTech company focused on orchestrate efficient partnerships,0
"Sutton, Turner and Oconnor Group",Media & Entertainment,437,57,A Media & Entertainment company focused on incubate B2C e-business,0
"Benson, Johnson and Cole Group",Venture Capital,75,94,A Venture Capital company focused on integrate value-added e-markets,1
Massey Ltd LLC,Publishing,6,2,A Publishing company focused on mesh e-business channels,0
Olsen-Evans Group,Aerospace & Defense,900,22,A Aerospace & Defense company focused on exploit holistic vortals,1
Mcneil-Hoover LLC,Legal Services,7,3,A Legal Services company focused on transition virtual e-commerce,0
"Mitchell, Padilla and Stevenson Group",PropTech,5,1,A PropTech company focused on re-contextualize impactful methodologies,0
Thompson-Dennis Inc.,Fashion & Apparel,906,70,A Fashion & Apparel company focused on optimize proactive e-services,0
"Griffin, Lopez and Gonzalez LLC",Fashion & Apparel,309,109,A Fashion & Apparel company focused on transition cutting-edge web services,0
Mueller-Manning Group,Logistics & Supply Chain,225,162,A Logistics & Supply Chain company focused on expedite bricks-and-clicks relationships,1
Boyle-Barrett LLC,Logistics & Supply Chain,7,2,A Logistics & Supply Chain company focused on brand proactive info-mediaries,0
Payne-Montgomery Inc.,Consumer Electronics,927,42,A Consumer Electronics company focused on expedite strategic e-commerce,0
"Wilson, Thompson and Smith LLC",Agriculture,887,14,A Agriculture company focused on facilitate frictionless convergence,1
Smith Inc LLC,Accounting,7,3,A Accounting company focused on monetize revolutionary eyeballs,0
Mcmillan Ltd Group,Publishing,7,1,A Publishing company focused on revolutionize open-source relationships,0
Copeland Group Group,Healthcare,755,11,A Healthcare company focused on aggregate vertical content,1
Jenkins LLC LLC,IoT,7,3,A IoT company focused on transform B2C supply-chains,0
Walter-Contreras Group,Utilities,402,23,A Utilities company focused on evolve collaborative interfaces,1
Gonzalez-Patterson Group,Cosmetics,487,107,A Cosmetics company focused on strategize visionary e-business,0
Johnson and Sons Solutions,Telecommunications,330,181,A Telecommunications company focused on strategize proactive info-mediaries,0
French-Duncan Solutions,SaaS,5,3,A SaaS company focused on synergize cutting-edge architectures,0
Lutz Inc Inc.,Aerospace & Defense,7,1,A Aerospace & Defense company focused on unleash plug-and-play networks,0
"Thomas, Baker and Cohen Inc.",Oil & Gas,6,1,A Oil & Gas company focused on generate best-of-breed schemas,0
Rowe-Mills LLC,PropTech,868,27,A PropTech company focused on morph one-to-one mindshare,1
Tate and Sons Group,Hospitality,289,149,A Hospitality company focused on maximize real-time e-markets,0
Harvey-Young Solutions,Agriculture,931,84,A Agriculture company focused on architect 24/365 technologies,1
Hess PLC Group,Retail,75,165,A Retail company focused on reinvent sticky content,1
Horne-Schmidt LLC,PropTech,5,1,A PropTech company focused on benchmark cross-platform e-markets,0
"Maldonado, Potter and West Group",Data Analytics,266,92,A Data Analytics company focused on engineer ubiquitous markets,1
"Holland, Perkins and Hall Solutions",Legal Services,6,1,A Legal Services company focused on enable cutting-edge experiences,0
Glenn-Garcia Group,E-commerce,198,69,A E-commerce company focused on evolve synergistic systems,1
Hines-Stewart Group,HealthTech,872,81,A HealthTech company focused on engineer extensible ROI,1
"Moses, Thompson and Vargas LLC",Insurance,610,196,A Insurance company focused on optimize end-to-end e-commerce,1
Howard-Mcmahon LLC,Investment Management,316,41,A Investment Management company focused on generate dot-com markets,1
Johnson PLC Inc.,Medical Devices,774,9,A Medical Devices company focused on incubate mission-critical systems,1
Huffman Group Inc.,Renewable Energy,5,3,A Renewable Energy company focused on aggregate wireless info-mediaries,0
Casey PLC Solutions,Venture Capital,434,108,A Venture Capital company focused on e-enable visionary content,1
Willis Ltd Inc.,Data Analytics,5,3,A Data Analytics company focused on redefine e-business ROI,0
Burns PLC LLC,Telecommunications,848,22,A Telecommunications company focused on incentivize integrated bandwidth,0
"Flowers, Harper and Buchanan Inc.",Food & Beverage,371,59,A Food & Beverage company focused on visualize frictionless interfaces,1
Ho Inc LLC,Hospitality,896,69,A Hospitality company focused on iterate cutting-edge synergies,0
Bennett Ltd Solutions,Food & Beverage,468,10,A Food & Beverage company focused on engage collaborative niches,1
Clarke-Holmes Inc.,Cloud Computing,628,46,A Cloud Computing company focused on innovate visionary solutions,1
"Huang, Mcgrath and Kirby LLC",Public Relations,7,1,A Public Relations company focused on empower synergistic e-tailers,0
Johns Group Group,PropTech,663,131,A PropTech company focused on mesh granular ROI,1
"Whitney, King and Gregory Inc.",Fintech,265,93,A Fintech company focused on unleash strategic functionalities,1
Cunningham-Perez Group,HealthTech,576,52,A HealthTech company focused on cultivate rich communities,1
Morales-Chavez LLC,EdTech,535,123,A EdTech company focused on whiteboard efficient models,1
Stone PLC Solutions,Cloud Computing,273,69,A Cloud Computing company focused on mesh innovative users,1
Bond Group Group,Oil & Gas,565,70,A Oil & Gas company focused on implement B2B paradigms,1
Johnson Inc Solutions,Consumer Electronics,505,123,A Consumer Electronics company focused on envisioneer seamless e-tailers,0
Gray-Daniel LLC,SaaS,5,1,A SaaS company focused on redefine innovative functionalities,0
"Scott, Tapia and Dominguez Solutions",Events Services,833,69,A Events Services company focused on transition synergistic e-services,0
"Contreras, Williamson and Simmons Inc.",Mining,694,50,A Mining company focused on generate cross-platform markets,1
Grant-Stephens Inc.,Logistics & Supply Chain,6,1,A Logistics & Supply Chain company focused on orchestrate next-generation eyeballs,0
Hernandez Ltd Group,EdTech,798,80,A EdTech company focused on exploit wireless solutions,1
Ferguson-Arnold Group,Travel & Tourism,811,95,A Travel & Tourism company focused on visualize one-to-one metrics,0
Reyes-Freeman Solutions,Renewable Energy,6,1,A Renewable Energy company focused on drive real-time markets,0
Turner Ltd Group,Telecommunications,334,144,A Telecommunications company focused on implement ubiquitous networks,0
Arnold Inc LLC,Consumer Electronics,205,135,A Consumer Electronics company focused on integrate world-class supply-chains,0
Wallace Ltd LLC,Utilities,485,116,A Utilities company focused on transform extensible deliverables,1
Garcia-Reeves Inc.,Publishing,5,2,A Publishing company focused on maximize bleeding-edge e-services,0
"Carpenter, Smith and Martin LLC",Automotive,762,35,A Automotive company focused on evolve cutting-edge solutions,1
"Moreno, Patterson and Keller LLC",Events Services,8,3,A Events Services company focused on harness cross-platform action-items,0
Moore and Sons LLC,Logistics & Supply Chain,6,3,A Logistics & Supply Chain company focused on facilitate turn-key ROI,0
"Burns, Ramirez and Smith Group",Events Services,793,76,A Events Services company focused on empower value-added markets,0
Khan-Mendoza LLC,Data Analytics,5,2,A Data Analytics company focused on innovate granular solutions,0
Sharp Ltd Group,Fashion & Apparel,256,144,A Fashion & Apparel company focused on orchestrate global convergence,0
"Davis, Cruz and Robles LLC",Travel & Tourism,6,3,A Travel & Tourism company focused on seize proactive applications,0
Johnson-Gutierrez Inc.,Fintech,287,61,A Fintech company focused on incubate strategic bandwidth,1
Green and Sons Group,HealthTech,623,157,A HealthTech company focused on leverage distributed applications,1
"Washington, Mueller and Gibson Solutions",Marketing,203,151,A Marketing company focused on unleash wireless metrics,1
"Daniels, Flores and Thomas Group",Banking,569,119,A Banking company focused on unleash magnetic ROI,1
Graves PLC Solutions,Staffing & Recruiting,68,143,A Staffing & Recruiting company focused on re-contextualize proactive users,1
Graham-Griffith Group,Banking,351,112,A Banking company focused on engineer dynamic web services,1
Marks Inc Inc.,Investment Management,7,3,A Investment Management company focused on incentivize one-to-one markets,0
"Underwood, Simpson and Guzman Solutions",Oil & Gas,7,2,A Oil & Gas company focused on visualize end-to-end supply-chains,0
Brooks-Garcia Inc.,Cybersecurity,185,185,A Cybersecurity company focused on enable frictionless e-business,1
"Johnson, Hughes and Roth Solutions",Pharmaceuticals,992,83,A Pharmaceuticals company focused on revolutionize best-of-breed e-business,1
"Johnson, Booth and Newman Group",Publishing,7,1,A Publishing company focused on empower back-end info-mediaries,0
Nichols-Nelson LLC,Banking,8,2,A Banking company focused on revolutionize value-added platforms,0
Nelson-Robinson Inc.,Events Services,685,81,A Events Services company focused on harness scalable systems,0
Mitchell-Anderson LLC,SaaS,967,196,A SaaS company focused on envisioneer distributed schemas,1
Yates-Woods Inc.,Healthcare,8,2,A Healthcare company focused on deploy visionary users,0
"Garza, Aguirre and Hopkins Inc.",Automotive,7,3,A Automotive company focused on redefine frictionless schemas,0
Johnson Inc Group,Biotechnology,7,3,A Biotechnology company focused on target customized e-services,0
"Robinson, Baldwin and Cruz Solutions",HealthTech,836,180,A HealthTech company focused on maximize open-source methodologies,1
Miller-Jones Solutions,Telecommunications,873,136,A Telecommunications company focused on redefine 24/365 eyeballs,0
Robinson PLC LLC,Logistics & Supply Chain,52,91,A Logistics & Supply Chain company focused on brand strategic experiences,1
Baker Inc Group,Logistics & Supply Chain,296,12,A Logistics & Supply Chain company focused on extend extensible systems,1
"Small, Baxter and Mercado Solutions",Aerospace & Defense,271,154,A Aerospace & Defense company focused on deploy 24/365 functionalities,1
Williams Ltd LLC,Automotive,5,1,A Automotive company focused on transform intuitive systems,0
Martinez LLC Solutions,SaaS,795,41,A SaaS company focused on re-contextualize killer channels,1
"Brown, Hughes and Martin LLC",Public Relations,7,1,A Public Relations company focused on reinvent end-to-end solutions,0
Bowen-Snyder LLC,HealthTech,607,57,A HealthTech company focused on engage magnetic info-mediaries,1
Barnes-Stone Group,SaaS,540,11,A SaaS company focused on envisioneer wireless solutions,1
Thompson LLC Solutions,Gaming,994,147,A Gaming company focused on grow robust applications,1
"Walton, Ashley and Cline Inc.",HealthTech,871,39,A HealthTech company focused on deploy intuitive methodologies,1
"Arnold, Willis and Hill Inc.",Oil & Gas,736,143,A Oil & Gas company focused on generate one-to-one platforms,1
"Hale, Mathis and Peters Group",Data Analytics,5,3,A Data Analytics company focused on incentivize 24/365 methodologies,0
Hanson Group Inc.,Investment Management,339,15,A Investment Management company focused on maximize bleeding-edge eyeballs,1
Forbes-Thompson Solutions,Legal Services,798,22,A Legal Services company focused on synergize robust paradigms,1
"Rodriguez, Nelson and Wise Solutions",HealthTech,5,2,A HealthTech company focused on optimize best-of-breed metrics,0
Webb Ltd Solutions,SaaS,607,104,A SaaS company focused on envisioneer out-of-the-box metrics,1
"Pham, Gonzales and Martinez Group",Venture Capital,621,12,A Venture Capital company focused on innovate robust schemas,1
Burgess-Bennett LLC,Cosmetics,5,1,A Cosmetics company focused on disintermediate e-business vortals,0
Washington-Alvarez Group,Travel & Tourism,800,103,A Travel & Tourism company focused on incubate plug-and-play web services,0
Strickland LLC LLC,Gaming,8,1,A Gaming company focused on cultivate strategic platforms,0
Obrien and Sons Group,Consulting,121,199,A Consulting company focused on mesh compelling vortals,1
"Gentry, Torres and Curry Group",Logistics & Supply Chain,495,176,A Logistics & Supply Chain company focused on empower open-source infrastructures,1
Williams-Peters Inc.,Data Analytics,145,198,A Data Analytics company focused on architect intuitive metrics,1
Bishop PLC Solutions,HealthTech,61,163,A HealthTech company focused on e-enable vertical portals,1
Rios Ltd LLC,Utilities,354,122,A Utilities company focused on implement global e-tailers,1
Cunningham and Sons Group,Legal Services,375,107,A Legal Services company focused on scale viral web-readiness,1
Sutton Group Inc.,Construction,523,179,A Construction company focused on optimize wireless models,1
"Phillips, Butler and Ferrell LLC",IoT,398,75,A IoT company focused on disintermediate next-generation vortals,1
Baldwin-Underwood LLC,Biotechnology,7,2,A Biotechnology company focused on streamline dot-com paradigms,0
Lang-Howard Solutions,Medical Devices,23,51,A Medical Devices company focused on transform world-class niches,1
Tapia-Richardson Group,Travel & Tourism,718,60,A Travel & Tourism company focused on scale world-class infrastructures,0
"Stevens, Brooks and Cox LLC",EdTech,8,1,A EdTech company focused on reinvent plug-and-play e-services,0
"Barnett, Rodriguez and Garcia Solutions",Construction,177,132,A Construction company focused on seize value-added metrics,1
Montgomery-Santos Group,Renewable Energy,515,144,A Renewable Energy company focused on evolve value-added relationships,1
"Martinez, Strong and Pruitt LLC",Agriculture,897,33,A Agriculture company focused on matrix killer communities,1
"Lee, Murphy and Douglas Group",Oil & Gas,74,93,A Oil & Gas company focused on iterate sticky markets,1
Tucker-Hopkins Group,Public Relations,8,3,A Public Relations company focused on redefine turn-key e-commerce,0
Singleton-Davidson Inc.,Pharmaceuticals,24,141,A Pharmaceuticals company focused on synthesize turn-key markets,1
"Martin, Garcia and Martinez Group",Automotive,878,55,A Automotive company focused on incubate B2C ROI,1
"Baker, Faulkner and Middleton LLC",Public Relations,5,2,A Public Relations company focused on facilitate frictionless portals,0
Bender-Thompson Group,Logistics & Supply Chain,751,192,A Logistics & Supply Chain company focused on enhance virtual convergence,1
Weeks-Mejia Group,Manufacturing,951,168,A Manufacturing company focused on orchestrate B2C solutions,1
"Evans, Anderson and Ortiz Inc.",SaaS,74,185,A SaaS company focused on unleash strategic relationships,1
Mclaughlin-Alexander LLC,Consulting,425,68,A Consulting company focused on orchestrate frictionless e-business,1
Sanchez-Bowen Group,Media & Entertainment,519,59,A Media & Entertainment company focused on repurpose dynamic models,0
Perez-Adkins Inc.,AI,909,162,A AI company focused on empower global initiatives,1
Petty Ltd Inc.,Cosmetics,8,2,A Cosmetics company focused on iterate viral content,0
Patterson-Graham Inc.,Venture Capital,33,180,A Venture Capital company focused on revolutionize dynamic bandwidth,1
Vega-Johnson Solutions,Renewable Energy,939,36,A Renewable Energy company focused on maximize robust e-tailers,1
"Gaines, Schultz and Bauer LLC",Telecommunications,8,2,A Telecommunications company focused on enable bricks-and-clicks portals,0
Salazar-Keller Group,EdTech,74,123,A EdTech company focused on empower intuitive networks,1
"Butler, Martin and Mendez Inc.",Marketing,804,31,A Marketing company focused on deploy transparent supply-chains,1
Martin and Sons Group,Insurance,16,45,A Insurance company focused on unleash innovative models,1
Webster PLC Inc.,Utilities,949,146,A Utilities company focused on synthesize value-added solutions,1
"Chan, Rios and Schwartz Inc.",Biotechnology,546,138,A Biotechnology company focused on re-contextualize collaborative e-business,1
Silva Inc Solutions,Logistics & Supply Chain,55,113,A Logistics & Supply Chain company focused on empower visionary info-mediaries,1
Atkins-Owen Inc.,Travel & Tourism,8,2,A Travel & Tourism company focused on revolutionize rich info-mediaries,0
Ayala-Wright LLC,Events Services,8,1,A Events Services company focused on implement dynamic mindshare,0
"Hahn, Rogers and Klein Solutions",Telecommunications,503,169,A Telecommunications company focused on drive interactive synergies,0
Brown-Mercer LLC,Legal Services,362,10,A Legal Services company focused on iterate sticky channels,1
Mason-Cooper LLC,Construction,738,150,A Construction company focused on matrix synergistic platforms,1
Jones-Brown LLC,HR Tech,300,59,A HR Tech company focused on implement sticky networks,1
Smith Inc Inc.,Public Relations,59,182,A Public Relations company focused on repurpose revolutionary solutions,1
Smith PLC Solutions,EdTech,83,196,A EdTech company focused on enable clicks-and-mortar vortals,1
Mckinney-Fletcher LLC,Pharmaceuticals,144,51,A Pharmaceuticals company focused on embrace visionary vortals,1
Norris Group Group,SaaS,8,1,A SaaS company focused on synthesize impactful interfaces,0
"Boyle, Rogers and Wolfe Group",Banking,6,3,A Banking company focused on synergize global initiatives,0
Chavez-Anderson LLC,Fashion & Apparel,6,1,A Fashion & Apparel company focused on syndicate real-time portals,0
Gilmore-Gutierrez Group,Consulting,903,182,A Consulting company focused on incubate viral markets,1
Lane-Bradley Group,Agriculture,320,26,A Agriculture company focused on cultivate extensible interfaces,1
Gomez-Ross Group,Staffing & Recruiting,5,3,A Staffing & Recruiting company focused on generate holistic eyeballs,0
Meyers and Sons Group,Staffing & Recruiting,390,46,A Staffing & Recruiting company focused on aggregate out-of-the-box e-commerce,1
Davis Group LLC,Cosmetics,5,1,A Cosmetics company focused on leverage virtual action-items,0
Kelly-Hines LLC,Manufacturing,857,72,A Manufacturing company focused on seize viral paradigms,1
Rodriguez-Smith LLC,SaaS,5,3,A SaaS company focused on expedite integrated e-markets,0
"Lewis, Ramirez and Cabrera Group",Venture Capital,6,1,A Venture Capital company focused on facilitate intuitive metrics,0
Riley-Brown Group,Telecommunications,400,53,A Telecommunications company focused on brand global infrastructures,0
Fox-Richardson Inc.,Healthcare,306,40,A Healthcare company focused on enable user-centric deliverables,1
Russell PLC LLC,Mining,135,181,A Mining company focused on harness open-source architectures,1
Oneill-Allen Group,Hospitality,8,3,A Hospitality company focused on mesh user-centric experiences,0
Hubbard-Kennedy LLC,Marketing,359,152,A Marketing company focused on evolve sticky e-commerce,1
Long PLC Solutions,SaaS,357,39,A SaaS company focused on re-intermediate dot-com markets,1
Mccarty PLC Solutions,Renewable Energy,88,153,A Renewable Energy company focused on utilize transparent partnerships,1
"Morrison, Smith and Jones LLC",Food & Beverage,129,38,A Food & Beverage company focused on target B2B schemas,1
"Reynolds, Chen and Jordan Solutions",PropTech,5,3,A PropTech company focused on grow value-added content,0
"Lee, Baker and Crawford Group",Telecommunications,578,130,A Telecommunications company focused on seize best-of-breed info-mediaries,0
Mccarthy LLC Group,Fashion & Apparel,619,14,A Fashion & Apparel company focused on evolve vertical channels,0
"Nguyen, Howe and Perez Group",Cosmetics,937,145,A Cosmetics company focused on scale compelling e-commerce,0
"Wood, Zamora and Martinez Group",Renewable Energy,499,148,A Renewable Energy company focused on transition real-time methodologies,1
Garza-Williamson Solutions,Fashion & Apparel,302,106,A Fashion & Apparel company focused on drive ubiquitous interfaces,0
Guzman and Sons Solutions,Fintech,5,1,A Fintech company focused on unleash distributed e-markets,0
"Gutierrez, Rodgers and Miller Solutions",Venture Capital,8,3,A Venture Capital company focused on unleash leading-edge applications,0
Harris-Turner LLC,Mining,802,93,A Mining company focused on innovate collaborative bandwidth,1
"Williams, Norris and Morgan Inc.",Investment Management,558,28,A Investment Management company focused on strategize bleeding-edge convergence,1
"Carter, Robinson and Archer Solutions",EdTech,7,2,A EdTech company focused on maximize dynamic paradigms,0
Mitchell PLC Group,Cybersecurity,343,170,A Cybersecurity company focused on streamline open-source ROI,1
Silva Inc Inc.,Consulting,5,1,A Consulting company focused on maximize real-time paradigms,0
Carter-Burnett Solutions,Staffing & Recruiting,5,2,A Staffing & Recruiting company focused on integrate web-enabled e-services,0
Johnson-Johnson Solutions,Investment Management,814,167,A Investment Management company focused on reinvent turn-key communities,1
"Pierce, Davis and Boone LLC",Food & Beverage,297,108,A Food & Beverage company focused on drive global e-services,1
Powell and Sons LLC,HealthTech,112,79,A HealthTech company focused on extend dot-com web services,1
Copeland-Nguyen Solutions,Oil & Gas,8,2,A Oil & Gas company focused on implement distributed markets,0
"Pace, Wood and Henry Solutions",EdTech,73,78,A EdTech company focused on orchestrate user-centric mindshare,1
"Phelps, Brown and Robinson LLC",Accounting,946,195,A Accounting company focused on strategize transparent mindshare,1
"Ruiz, Patterson and Peterson Solutions",Media & Entertainment,7,1,A Media & Entertainment company focused on whiteboard collaborative convergence,0
Williams Ltd Group,Venture Capital,389,156,A Venture Capital company focused on exploit efficient technologies,1
"Owens, Cooper and Rice LLC",Consumer Electronics,329,145,A Consumer Electronics company focused on envisioneer frictionless action-items,0
Raymond-Torres Group,IoT,6,3,A IoT company focused on deliver back-end initiatives,0
Kim-Tyler LLC,Cosmetics,6,1,A Cosmetics company focused on exploit value-added deliverables,0
Castro-Davis Inc.,Agriculture,521,181,A Agriculture company focused on engineer back-end web services,1
Little-Foster Group,Medical Devices,8,1,A Medical Devices company focused on visualize global ROI,0
"Logan, Lowe and Wright Group",Biotechnology,445,177,A Biotechnology company focused on productize customized systems,1
Galloway-Oliver Solutions,Consulting,228,94,A Consulting company focused on benchmark scalable infrastructures,1
Watson Ltd LLC,Medical Devices,7,1,A Medical Devices company focused on synthesize dynamic experiences,0
Peters-Brown Inc.,Legal Services,971,126,A Legal Services company focused on unleash cross-media vortals,1
"Lee, Ward and Garcia Group",Investment Management,529,107,A Investment Management company focused on monetize B2C convergence,1
"Sullivan, Bautista and Johnson Inc.",Fashion & Apparel,89,64,A Fashion & Apparel company focused on maximize distributed relationships,0
Castro Group LLC,Telecommunications,492,158,A Telecommunications company focused on empower next-generation architectures,0
Torres PLC Group,Accounting,839,194,A Accounting company focused on reinvent 24/365 niches,1
"Johnson, Smith and Maldonado Solutions",Gaming,583,52,A Gaming company focused on implement turn-key bandwidth,1
"Phillips, Stokes and Allen Inc.",Cosmetics,687,78,A Cosmetics company focused on architect granular bandwidth,0
Valdez PLC LLC,Construction,6,1,A Construction company focused on disintermediate scalable e-business,0
Mitchell LLC Group,Events Services,6,3,A Events Services company focused on target vertical supply-chains,0
Park Group Solutions,Travel & Tourism,900,164,A Travel & Tourism company focused on morph collaborative relationships,0
"Thomas, Roth and Owens LLC",Consulting,527,146,A Consulting company focused on whiteboard next-generation initiatives,1
Moss Ltd Group,Accounting,5,2,A Accounting company focused on envisioneer customized channels,0
"Taylor, Evans and Anderson LLC",Logistics & Supply Chain,8,1,A Logistics & Supply Chain company focused on deliver back-end markets,0
Elliott-Hartman Inc.,Gaming,830,34,A Gaming company focused on integrate 24/7 solutions,1
"Smith, Holland and Henderson Solutions",Cosmetics,7,3,A Cosmetics company focused on visualize ubiquitous deliverables,0
Gonzalez-Summers Group,Manufacturing,13,140,A Manufacturing company focused on unleash user-centric web services,1
Tran Group Solutions,Pharmaceuticals,991,121,A Pharmaceuticals company focused on syndicate open-source methodologies,1
Powers-Arnold Inc.,Consumer Electronics,328,158,A Consumer Electronics company focused on integrate out-of-the-box applications,0
Perkins-Moore Group,Utilities,8,3,A Utilities company focused on streamline extensible architectures,0
Holmes-Wells Solutions,Mining,8,1,A Mining company focused on re-contextualize granular systems,0
Griffin Ltd Group,AI,318,136,A AI company focused on integrate granular e-commerce,1
Smith-Price Solutions,Marketing,495,169,A Marketing company focused on matrix magnetic systems,1
Miller PLC LLC,Construction,259,185,A Construction company focused on transition world-class eyeballs,1
Powers-Ryan LLC,Investment Management,6,3,A Investment Management company focused on revolutionize revolutionary functionalities,0
Marshall and Sons LLC,Manufacturing,420,172,A Manufacturing company focused on unleash magnetic metrics,1
"Adams, Thornton and Bishop Inc.",Staffing & Recruiting,243,13,A Staffing & Recruiting company focused on orchestrate scalable ROI,1
Taylor-Moreno Solutions,Consulting,946,6,A Consulting company focused on engineer extensible solutions,1
"Pierce, Proctor and Lowe Solutions",Consulting,242,191,A Consulting company focused on generate magnetic e-tailers,1
Horton-Bishop Inc.,Utilities,245,195,A Utilities company focused on streamline granular synergies,1
Gregory Ltd LLC,Travel & Tourism,8,3,A Travel & Tourism company focused on empower bricks-and-clicks systems,0
"Hall, Thompson and Brooks LLC",Legal Services,694,92,A Legal Services company focused on seize best-of-breed systems,1
Harper Inc Solutions,Consulting,318,10,A Consulting company focused on benchmark extensible content,1
Reeves LLC Group,Travel & Tourism,283,150,A Travel & Tourism company focused on streamline innovative systems,0
Clark and Sons Inc.,Venture Capital,714,39,A Venture Capital company focused on maximize proactive applications,1
"Cole, Bauer and Tate LLC",Wellness and Fitness,5,1,A Wellness and Fitness company focused on grow dynamic markets,0
Matthews-Li Inc.,Wellness and Fitness,110,40,A Wellness and Fitness company focused on architect dot-com models,1
"Harrison, Woodward and Silva Group",HR Tech,433,56,A HR Tech company focused on embrace end-to-end e-tailers,1
Holmes and Sons Inc.,Retail,673,94,A Retail company focused on expedite e-business technologies,1
Clark and Sons Group,IoT,73,108,A IoT company focused on disintermediate synergistic relationships,1
"Holden, Jimenez and Smith Group",Insurance,854,114,A Insurance company focused on utilize viral models,1
"Cruz, Pearson and Baker Solutions",PropTech,96,56,A PropTech company focused on empower sticky solutions,1
Matthews Inc Solutions,Oil & Gas,5,1,A Oil & Gas company focused on exploit visionary systems,0
